Proccess,ID,Target,F1mean,F1std,ROCmean,ROCstd
1a,['C1'],Y1,0.5124,0.0565,0.4721,0.0572
1a,['C1' 'C4'],Y1,0.481,0.0536,0.4556,0.0794
1a,['C1' 'C4' 'C5'],Y1,0.4467,0.0759,0.435,0.076
1a,['C1' 'C4' 'C5' 'C6'],Y1,0.4662,0.0705,0.4417,0.0624
1a,['C1' 'C4' 'C5' 'C6' 'T1'],Y1,0.4593,0.0719,0.4342,0.0603
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2'],Y1,0.44,0.0537,0.4279,0.0695
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3'],Y1,0.4409,0.0611,0.4137,0.0644
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4'],Y1,0.4452,0.0645,0.4198,0.0643
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y1,0.4328,0.048,0.398,0.0478
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y1,0.4261,0.0599,0.3869,0.0605
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y1,0.4056,0.0642,0.3673,0.0682
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.412,0.0654,0.3698,0.0651
1a,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.4191,0.0745,0.3732,0.0685
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio']",Y1,0.4228,0.0815,0.374,0.0697
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio']",Y1,0.4247,0.0783,0.372,0.0682
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio']",Y1,0.4294,0.082,0.3728,0.0676
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y1,0.4277,0.0873,0.3711,0.0682
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y1,0.4249,0.0838,0.3766,0.0622
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4241,0.0463,0.3684,0.0506
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1105,0.0512,0.1053,0.0584
1a,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1105,0.0512,0.1049,0.0568
1a,['C4'],Y1,0.4704,0.0649,0.4576,0.0672
1a,['C4' 'C5'],Y1,0.4606,0.0596,0.4412,0.0595
1a,['C4' 'C5' 'C6'],Y1,0.4669,0.0559,0.4536,0.0457
1a,['C4' 'C5' 'C6' 'T1'],Y1,0.4558,0.0609,0.441,0.0521
1a,['C4' 'C5' 'C6' 'T1' 'T2'],Y1,0.4689,0.0533,0.4364,0.0622
1a,['C4' 'C5' 'C6' 'T1' 'T2' 'T3'],Y1,0.4467,0.0556,0.4216,0.0595
1a,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4'],Y1,0.4543,0.0486,0.4268,0.0592
1a,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y1,0.4387,0.0498,0.4001,0.0472
1a,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y1,0.4441,0.0462,0.3863,0.0581
1a,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y1,0.408,0.0532,0.3673,0.0652
1a,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.4098,0.0611,0.3685,0.063
1a,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.4199,0.0656,0.3711,0.0638
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio']",Y1,0.4167,0.0673,0.3708,0.0661
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio']",Y1,0.4273,0.0717,0.3691,0.0625
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio']",Y1,0.4314,0.0739,0.3698,0.0618
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y1,0.4257,0.0716,0.3687,0.06
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y1,0.421,0.057,0.3751,0.0547
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4114,0.0478,0.3685,0.0497
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1105,0.0512,0.1026,0.0558
1a,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1105,0.0512,0.1023,0.055
1a,['C5'],Y1,0.4776,0.0514,0.4531,0.0493
1a,['C5' 'C6'],Y1,0.4586,0.0565,0.4662,0.0483
1a,['C5' 'C6' 'T1'],Y1,0.4634,0.0604,0.4534,0.0613
1a,['C5' 'C6' 'T1' 'T2'],Y1,0.4986,0.0706,0.4507,0.0669
1a,['C5' 'C6' 'T1' 'T2' 'T3'],Y1,0.4626,0.0611,0.4352,0.0713
1a,['C5' 'C6' 'T1' 'T2' 'T3' 'T4'],Y1,0.4576,0.0531,0.4393,0.0599
1a,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y1,0.4125,0.0239,0.4071,0.0395
1a,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y1,0.4221,0.0451,0.3929,0.0484
1a,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y1,0.4029,0.0489,0.3771,0.0465
1a,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.403,0.0418,0.3753,0.0474
1a,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.4051,0.039,0.3778,0.0536
1a,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4115,0.04,0.3767,0.0525
1a,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio']",Y1,0.4205,0.0499,0.3738,0.0513
1a,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio']",Y1,0.4225,0.0428,0.3751,0.0494
1a,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4174,0.0426,0.3746,0.0484
1a,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4169,0.0409,0.3808,0.0514
1a,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y1,0.4173,0.0468,0.3797,0.0506
